,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Duration (d), Education, Agriculture, Health sector, Water supply, Communications, Transportation, Power and Energy, Relief,Country, Education centers, Hospitals,Updated Event Name,Mapped Event Categories
201,1975/09,FLOOD,10,7,0,0,5,50,0,0,0,6000,0,200000,1750,14,0,8,0,0,1,6,2,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
204,1975/09,SURGE,1,0,0,0,3,0,0,0,0,0,0,4000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,STORM SURGE,HYDROLOGICAL
206,1975/10,FIRE,4,5,4,0,1,5,0,0,0,0,0,1502300,0,4,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
207,1975/10,INTOXICACIÓN,1,0,15,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
210,1975/11,FLOOD,14,1,0,3,30,0,0,0,0,0,0,200000,0,14,0,14,0,0,0,6,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
212,1975/12,EPIDEMIC,6,7,276,0,0,0,0,0,0,0,0,200000,0,8,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
213,1975/12,FLOOD,30,2,0,0,0,0,0,0,0,200,0,11060000,5744,67,0,30,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
214,1976/02,FIRE,2,0,0,0,17,0,0,0,0,0,0,10850,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
215,1976/02,PLAGUE,1,0,0,0,0,0,0,0,0,0,0,100000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,PLAGUE,HEALTH
216,1976/03,FIRE,1,0,0,0,2,0,17,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
220,1976/04,EXPLOSION,1,1,0,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
221,1976/04,FIRE,2,0,0,0,3,0,0,0,0,0,0,33000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
223,1976/05,EPIDEMIC,1,0,80,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
224,1976/07,PLAGUE,2,0,0,0,0,0,0,3000,0,0,0,200000,0,2,0,2,0,0,0,0,0,0,Dominican Republic,0,0,PLAGUE,HEALTH
226,1976/10,STORM,2,6,0,0,0,0,0,0,0,0,0,200000,0,2,0,2,0,0,2,2,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
227,1977/02,FIRE,1,2,0,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
